,Job Title,Company Name,Location,Salary,Summary
0,Junior Data Scientist/ta,WSD Consultant,"Gurgaon, Haryana","₹7,00,000 - ₹15,00,000 a year",These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future.
1,Data Scientist (Risk Analytics & Modeling),LoanXpress,"Mumbai, Maharashtra",Nothing_found,"Manage large loan level and borrower level data used for risk and learning models.
Minimum 2 years of experience in implementing statistical/machine learning…"
2,Data Scientist,AI Engineer,"Delhi, Delhi","₹17,000 - ₹25,000 a month","Ability to use data visualization tools to showcase data for stakeholders.
Analyze and derive value from data through the application methods such as…"
3,Data Scientist,NatWest Group,"Gurgaon, Haryana",Nothing_found,"Participating in the data community, you’ll identify and deliver opportunities to support the bank’s strategic direction through the better use of data."
4,DATA SCIENTIST,Rockwell Automation,"Pune, Maharashtra",Nothing_found,"Experience implementing data science models in production.
Bachelor’s degree in data analytics, software engineering, management information systems, or related…"
5,Data Scientist,Zestmoney,Karnataka,Nothing_found,"Apply advanced statistical and data mining techniques in order to derive patterns from the data.
Assess the effectiveness and accuracy of new data sources and…"
6,Data Analyst/ Scientist,ANI Calls India Private Limited,"Noida, Uttar Pradesh","₹8,00,000 - ₹16,00,000 a year","Design, develop and implement data science and business analytics models for problem solving.
Analyze and evaluate research and interpret data, making sure that…"
7,Data and Applied Scientist,Microsoft,"Hyderabad, Telangana",Nothing_found,"We have an exciting opportunity for a seasoned data and applied scientist, who is passionate about building deep analytics, insights and optimization…"
8,Data Scientist,XPO Logistics,"Mumbai, Maharashtra",Nothing_found,"The selected candidate will possess a combination of data science skills including data wrangling, advanced programming and statistical analysis (machine…"
9,Data Scientist,Parexel,"Hyderabad, Telangana",Nothing_found,"Deliver analytic insights and recommendations using data visualization techniques.
Extensive experience in working with large-scale data."
10,Data Science-DL-,Aditya Birla Group,Maharashtra,Nothing_found,"As such, the role of a data scientist is responsible for creating the decision systems that convert data into models."
11,Data Scientist,Payoda,"Coimbatore, Tamil Nadu",Nothing_found,"We are looking for a passionate data scientist to become part of the Bigdata and Data Science team to.
Hands-on data scrapping, data exploration, hypothesis…"
12,Data Scientist / Machine Learning,ANI Calls India Private Limited,"Noida, Uttar Pradesh","₹8,00,000 - ₹16,00,000 a year","Strong intuition for data and Keen aptitude on large scale data analysis.
6-9 years of strong experience in data mining, machine learning and statistical…"
13,Delivery Data Scientist,Microsoft,"Hyderabad, Telangana",Nothing_found,"Hands on experience on Python for both data prep and modeling.
Hands on experience on Python for both data prep and modeling.
What you could bring to the team."
14,Data Scientist,Banctec Tps India Private Limited,"Pune, Maharashtra",Nothing_found,"Ø Strong problem-solving skills with an emphasis on data transformation.
Ø Knowledge and experience in statistical and data mining techniques: Regression,…"
15,Manager - Data Scientist,Michelin,"Pune, Maharashtra",Nothing_found,"The data, its relevance and its source are described and prioritized.
The data are prepared (cleansed, enriched, mapped,agregated, …) and the approach is…"
16,Data Scientist - Predictive Analytics,Yash Technologies,"Hyderabad, Telangana",Nothing_found,"Min 3+ years of relevant experience in data analytics.
Experience in developing minimum viable product related to data analytics."
17,Data Scientist,Biz2Credit Inc,"Noida, Uttar Pradesh",Nothing_found,"Work on data projects and proposals involving Biz2Credit?s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…"
18,Data Scientist / Machine Learning Expert,ANI Calls India Private Limited,"Bengaluru, Karnataka","₹8,00,000 - ₹16,00,000 a year","Strong intuition for data and Keen aptitude on large scale data analysis.
6-9 years of strong experience in data mining, machine learning and statistical…"
19,Data science/Data analytics/Python,HSBC,"Pune, Maharashtra",Nothing_found,"Exploring and visualizing data to gain an understanding of it, then identifying pattern in data distribution and generate insights."
20,Lead Data Scientist,Cognizant,"Hyderabad, Telangana",Nothing_found,Business/nWorks with the business team to identify the right business objective and data required to answer the sameDesigns and executes a data collection plan…
21,Data Science,Larsen & Toubro Infotech Limited,India,Nothing_found,"Preferable Expertise in leveraging capabilities of AI & ML with medium to large customer data in Insurance Domain.
Concentrations in AI/ML preferred."
22,Data Science Internship,KUKbit Software Lab,"Pune, Maharashtra","₹15,000 a month","Processing of unstructured/structured data.
Working on data science algorithms and AI concepts 2.
KUKbit Software Lab helps clients manage their cloud…"
23,Data Scientist,EcoMetric,"Pune, Maharashtra",Nothing_found,Ability to clearly document and communicate data exploration and cleaning decisions while assessing their effect on resulting data structures and possible…
24,"Jr.Data Scientist, Rider Analytics",ANI Calls India Private Limited,"Hyderabad, Telangana","₹9,00,000 - ₹16,00,000 a year",Excellent SQL skills and the ability to use tools such as Python or R to work efficiently at scale with large data sets.
25,Senior Data Scientist,Razorpay,"Bengaluru, Karnataka",Nothing_found,"Run data exploration to understand relationships and patterns within the data, develop data visualisation to represent and be able to demonstrate the…"
26,ML Engineer/ Data Scientist,Spotflock,"Hyderabad, Telangana",Nothing_found,"Supervising the data acquisition process if more data is needed.
Verifying data quality, and/or ensuring it via data cleaning.
Damn good with their skillset."
27,Data Scientist,Terra Economics & Analytics Lab (TEAL),"New Delhi, Delhi",Nothing_found,"Creating compelling data visualizations and communicating results.
As a Data Scientist at TEAL, you'll be taking the plunge into a rich data lake that includes…"
28,Data Science Internship,Applicate IT Solutions Private Limited,"Gurgaon, Haryana","₹25,000 a month","Selecting appropriate datasets and data representation methods 5.
Applicate is a sales-tech company with ready-to-deploy cloud-based solutions across roles,…"
29,"Senior Staff Engineer, Data Scientist",Stryker,"Gurgaon, Haryana",Nothing_found,"Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets."
30,Associate Data Scientist,Gap Inc.,"Hyderabad, Telangana",Nothing_found,"Transform large amounts of data across a diverse set of subject areas, collaborating with other data platform engineers where optimal to prepare data pipelines…"
31,Data Science Internship,Quadratyx,"Hyderabad, Telangana",Nothing_found,"Demonstrate strong skills in data preprocessing and data wrangling 6.
Visualize data and present insights to business 10.
Have relevant skills and interests."
32,ML Engineer/ Data Scientist Engineer,ANI Calls India Private Limited,"Hyderabad, Telangana","₹8,00,000 - ₹14,00,000 a year","Supervising the data acquisition process if more data is needed.
Verifying data quality, and/or ensuring it via data cleaning."
33,Data Scientist II,HERE Technologies,"Mumbai, Maharashtra",Nothing_found,"Development experience with GIS data.
Knowledge of tools such as Pig, Hive, etc., for working with big data in Hadoop and/or Spark for data extraction and data…"
34,Data Scientist DA4AD,Daimler,"Bengaluru, Karnataka",Nothing_found,"Experience with data visualisation tools like matplotlib, Tableau.
Experience with data visualisation tools like matplotlib, Tableau."
35,Junior Data Scientist,Soothsayer Analytics,"Hyderabad, Telangana",Nothing_found,"Collaborate with other engineers, data scientists, and product/business people.
Solve cutting edge, challenging problems working alongside a great team of world…"
36,Data Scientist,Intertrust,India,Nothing_found,"Experience using Python to manipulate data and draw insights from large data sets.
3+ yrs exp in data science.
Should be strong in communication skills."
37,Data Scientist,xtLytics,"Noida, Uttar Pradesh",Nothing_found,"Is creative and has a flair for data visualization.
Is passionate about solving business problems using large, complex data sets."
38,Tech Prog Mgr I - Data Science 1,Sitel,"Hyderabad, Telangana",Nothing_found,"Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments."
39,"Data Analyst (Python, ELG developer, Machine Learning)",3RI TECHNOLOGIES,"Pune, Maharashtra",Nothing_found,"Providing technical expertise in data storage structures, data mining, and data cleansing.
5 to 7 years of work experience in data analytics and data…"
40,Senior Data Scientist,PLUTO 7,"Bengaluru, Karnataka",Nothing_found,"Work experience in building data pipelines to ingest, cleanse and transform data.
Good exposure in exploratory data analysis.
Good in Python/R/SAS programming."
41,Senior Data Scientist,TEG Analytics,India,Nothing_found,"You will be part of a data science or cross-disciplinary team on commercially-facing development projects, typically involving large, complex data sets."
42,"Data Scientist - Credit Portfolio - Bangalore, India",MPOWER Financing,"Bengaluru, Karnataka",Nothing_found,"Advanced data modeling and data programming skills using large, complex data schemas.
Completing exploratory data analyses of large sets of public, private, and…"
43,Sr. Data & Applied Scientist,Microsoft,"Hyderabad, Telangana",Nothing_found,"Lead a team of engineers or data scientists to deliver sustainability platform.
Collect, organize and analyze data from multiple environmental sources, Azure…"
44,Data Science Engineer,Aptiv,"Bengaluru, Karnataka",Nothing_found,"CS/ data science engineering education background.
Aptiv is a global technology leader, with more than 160,000 people across more than 125 manufacturing…"
45,"Data Scientist - Credit Portfolio - Bangalore, India",MPOWER Financing,"Bengaluru, Karnataka",Nothing_found,"Advanced data modeling and data programming skills using large, complex data schemas.
Completing exploratory data analyses of large sets of public, private, and…"
46,Sr. Data & Applied Scientist,Microsoft,"Hyderabad, Telangana",Nothing_found,"Lead a team of engineers or data scientists to deliver sustainability platform.
Collect, organize and analyze data from multiple environmental sources, Azure…"
47,Data & Analytics Tech - EDM - Associate 1 - Bangalore,PwC,"Bengaluru, Karnataka",Nothing_found,"Good knowledge about data warehousing and Integration concepts.
Should have expertise in extracting data from different source systems like flat files, XML…"
48,Data Scientist /software,ANI Calls India Private Limited,"Bengaluru, Karnataka","₹9,00,000 - ₹16,00,000 a year","BI tools for data visualization like Tableau.
5 years of professional experience in a data science.
Experience extracting insights from large data sets using…"
49,"Associate Data Analyst, Technical Services",FiscalNote,"Gurgaon, Haryana",Nothing_found,"Match legislative stakeholders shared by clients to FiscalNote data for use with internal data integration tools.
Excellent written and verbal English skills."
50,Data Scientist DA4AD,Mercedes-Benz Research and Development India Priva...,"Bengaluru, Karnataka",Nothing_found,"Experience with data visualisation tools like matplotlib, Tableau.
Experience with data visualisation tools like matplotlib, Tableau."
51,Data Scientist II,Honeywell,"Bengaluru, Karnataka",Nothing_found,"Design and implement architecture/tech stack for data integration, data flow and data storage for DL solutions.
A go-getter attitude with a drive for execution."
52,Data Scientist –Technology,Anlage Infotech,"Bengaluru, Karnataka",Nothing_found,"Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns."
53,Data Scientist,Larsen & Toubro Infotech Limited,India,Nothing_found,"Must have minimum of 4+ years of industry experience in developing data science models.
""Responsibilities: Passion for learning new technologies and be up to…"
54,Data Scientist,Meesho,"Bengaluru, Karnataka",Nothing_found,From improving our product usability to identifying new growth opportunities data scientists help all teams within Meesho develop effective solutions.
55,Data Analyst,Larsen & Toubro Infotech Limited,India,Nothing_found,"""Candidate should have good experience in developing data analytics and data propagation pipeline with Python."
56,"Senior Data Scientist Bangalore, Karnataka",VMware,"Bengaluru, Karnataka",Nothing_found,"Prepare data for analysis using SQL or domain specific tool (example: Omniture for Digital), visualizing the data and executing to specifications."
57,Data Scientist,ANI Calls India Private Limited,"Hyderabad, Telangana","₹9,00,000 - ₹16,00,000 a year","BI tools for data visualization like Tableau.
5 years of professional experience in a data science.
Experience extracting insights from large data sets using…"
58,Data Analytics and reporting,Barclays,"Pune, Maharashtra",Nothing_found,"Job Title:Data Analytics and reporting.
The person is responsible for managing GRS Exception Management & Validation team ( or in Individual Contributor Role)…"
59,Data Scientist,Emerging India Group,India,Nothing_found,We are looking for a data scientist with an experience of 3+ years in deriving insights using analytical models handling vast amounts of data available across…
60,DATA SCIENTIST,Alpha ICT LLP,"Pune, Maharashtra",Nothing_found,"Identifying additional data to be collected and third-party data sources that will help the analysis.
Experience using statistical computer languages (R, Python…"
61,Data Scientist - 1120-CN-200,RELX Group,"Chennai, Tamil Nadu",Nothing_found,"Industry experience in ML and large-scale data mining is a big bonus.
Industry experience in Machine Learning, information clustering and large-scale data…"
62,Data Scientist_TS,AppZen,"Pune, Maharashtra",Nothing_found,"With a team of highly skilled and motivated data scientists and machine learning engineers.
Ensure data quality throughout all stages of acquisition and…"
63,Data Scientist I,Novartis,"Hyderabad, Telangana",Nothing_found,"Extensive experience in working with large-scale datasets (in bigdata architecture, data lake, data mart, data warehouse).
Nov Hltcr Shared Services Ind."
